,Complaint,Complaint Catagory
0,Comcast Cable Internet Speeds,Internet
1,Payment Disappear - Service Got Disconnected,Billing
2,Speed And Service,Internet
3,Comcast Imposed A New Usage Cap Of 300Gb That Punishes Streaming.,Network
4,Comcast Not Working And No Service To Boot,Network
5,Isp Charging For Arbitrary Data Limits With Overage Fees,Internet
6,Throttling Service And Unreasonable Data Caps,Internet
7,Comcast Refuses To Help Troubleshoot And Correct My Service.,Network
8,Comcast Extended Outages,Outages
9,Comcast Raising Prices And Not Being Available To Ask Why,Billing
10,Billing After Service Was Asked To Be Disconnected,Billing
11,Yahoo Failure To Restore Email Search Feature,Email
12,Comcast Violating Open Internet Rules By Blocking Hbo Go Access On Sony Consoles,Internet
13,Internet Speed,Internet
14,Internet Disconnects Every Night,Internet
15,Internet Complaint,Internet
16,Internet Availability And Speed,Internet
17,Comcast Owes Me $65 And Claims I Need To Return Equipment I Never Had,Internet
18,Horrible Internet Service,Internet
19,Failure To Provide Services That I Am Billed For.,Billing
20,Internet Out All The Time But They Have A Monopoly,Internet
21,Horrible Cable Service And Customer Service,Internet
22,Speed,Internet
23,Comcast Monopoly Bundling Practices,Other
24,Comcast!,Other
25,Bait And Switch,Network
26,Comcast Customer Service,Network
27,Apartment Management'S Exclusivity Contract With Comcast,Billing
28,Unable To Reach A Comcast Agent For Internet And Billing Issues.,Internet
29,Wifi Internet Not Working As Well,Internet
30,Comcast Data Caps,Network
31,Comcast Internet Data Cap,Internet
32,Xfinity Movers Edge Program,Other
33,Comcast Data Internet Usage,Internet
34,Comcast Not Refunding My Credit,Other
35,Comcast,Other
36,No Service,Network
37,Comcast,Other
38,"Internet , Billing And Servie Issues",Internet
39,Comcast Blocking Directv Signals,Network
40,Pmts,Other
41,Slow Internet Speed,Internet
42,Not Getting What I Am Paying For With Internet,Internet
43,Comcast Bandwidth Every Evening Drops To 10% Of What Is Promised To Our Business,Other
44,Isp Dishonest About Speeds,Internet
45,Deceptive Sales- Change In Billing Amount Etc.,Billing
46,Comcast Billing Dispute,Internet
47,Comcast,Other
48,Comcast Billing And Service Issues,Billing
49,Cable Prices Rising,Internet
50,Service Issues,Network
51,Hbo Go On Playstation 4,Other
52,Internet Connectivity,Internet
53,Email Issues,Email
54,Monopoly,Other
55,Complaint Against Xfinity/Comcast,Grievance
56,Comcast Credit After Cancellation Has Not Been Received After More Than A Year,Other
57,Comcast False Promises,Grievance
58,Comcast Blocking Udp Port 443,Other
59,Issues With Comcast,Other
60,Comcast Refuses To Schedule A Future Service Stoppage,Network
61,Comcast,Other
62,Overbilling,Billing
